Date,Team,Acquired,Relinquished,Notes,TEAM_ABBREVIATION,player_name_clean,matched_name,PLAYER_ID,match_score
2015-10-27,Bulls,,Cristiano Felicio,placed on IL,CHI,Cristiano Felicio,Cristiano Felicio,1626245,100.0
2015-10-27,Bulls,,Mike Dunleavy Jr.,placed on IL recovering from surgery on back,CHI,Mike Dunleavy,Mike Dunleavy,2399,100.0
2015-10-27,Cavaliers,,Iman Shumpert,placed on IL recovering from surgery on right wrist,CLE,Iman Shumpert,Iman Shumpert,202697,100.0
2015-10-27,Hawks,,Tim Hardaway Jr.,placed on IL,ATL,Tim Hardaway Jr.,Tim Hardaway Jr.,203501,100.0
2015-10-27,Hawks,,Walter Tavares / Edy Tavares,placed on IL,ATL,Edy Tavares,Edy Tavares,204002,100.0
2015-10-27,Pelicans,,Norris Cole (Gene),placed on IL with sprained left ankle,NOP,Norris Cole,Norris Cole,202708,100.0
2015-10-27,Pelicans,,Quincy Pondexter,placed on IL recovering from arthroscopic surgery on left knee (out for season),NOP,Quincy Pondexter,Quincy Pondexter,202347,100.0
2015-10-27,Pelicans,,Tyreke Evans,placed on IL recovering from arthroscopic surgery on right knee,NOP,Tyreke Evans,Tyreke Evans,201936,100.0
2015-10-27,Pistons,,Brandon Jennings,placed on IL with torn left Achilles,DET,Brandon Jennings,Brandon Jennings,201943,100.0
2015-10-27,Warriors,,Ian Clark,placed on IL,GSW,Ian Clark,Ian Clark,203546,100.0
2015-10-27,Warriors,,Kevon Looney,placed on IL recovering from surgery on right hip to repair torn labrum,GSW,Kevon Looney,Kevon Looney,1626172,100.0
2015-10-28,76ers,,Carl Landry,placed on IL recovering from surgery on right wrist,PHI,Carl Landry,Carl Landry,201171,100.0
2015-10-28,76ers,,Joel Embiid,placed on IL with foot injury,PHI,Joel Embiid,Joel Embiid,203954,100.0
2015-10-28,76ers,,Tony Wroten Jr.,placed on IL with knee injury,PHI,Tony Wroten,Tony Wroten,203100,100.0
2015-10-28,Blazers,,Cliff Alexander,placed on IL with sore left knee,POR,Cliff Alexander,Cliff Alexander,1626146,100.0
2015-10-28,Blazers,,Gerald Henderson Jr.,placed on IL with sore left hip,POR,Gerald Henderson,Gerald Henderson,201945,100.0
2015-10-28,Bucks,,Jabari Parker,placed on IL recovering from surgery on left knee to repair torn ACL,MIL,Jabari Parker,Jabari Parker,203953,100.0
2015-10-28,Bucks,,Tyler Ennis,placed on IL recovering from surgery on right shoulder,MIL,Tyler Ennis,Tyler Ennis,203898,100.0
2015-10-28,Celtics,,James Young,placed on IL,BOS,James Young,James Young,203923,100.0
2015-10-28,Clippers,,Branden Dawson,placed on IL,LAC,Branden Dawson,Branden Dawson,1626183,100.0
2015-10-28,Clippers,,C.J. Wilcox,placed on IL,LAC,C.J. Wilcox,C.J. Wilcox,203912,100.0
2015-10-28,Grizzlies,,Jarnell Stokes,placed on IL,MEM,Jarnell Stokes,Jarnell Stokes,203950,100.0
2015-10-28,Heat,,Amare Stoudemire / Amar'e Stoudemire,placed on IL with rehab of knee,MIA,Amar'e Stoudemire,Amar'e Stoudemire,2405,100.0
2015-10-28,Heat,,Josh Richardson,placed on IL,MIA,Josh Richardson,Josh Richardson,1626196,100.0
2015-10-28,Hornets,,Michael Kidd-Gilchrist,placed on IL recovering from surgery on right shoulder to repair torn labrum,CHA,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist,203077,100.0
2015-10-28,Hornets,,Troy Daniels,placed on IL with strained left hamstring,CHA,Troy Daniels,Troy Daniels,203584,100.0
2015-10-28,Jazz,,Dante Exum,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),UTA,Dante Exum,Dante Exum,203957,100.0
2015-10-28,Jazz,,Jeff Withey,placed on IL,UTA,Jeff Withey,Jeff Withey,203481,100.0
2015-10-28,Kings,,Duje Dukan,placed on IL,SAC,Duje Dukan,Duje Dukan,1626251,100.0
2015-10-28,Kings,,Eric Moreland,placed on IL,SAC,Eric Moreland,Eric Moreland,203961,100.0
2015-10-28,Knicks,,Louis Amundson / Lou Amundson,placed on IL with sore lower back,NYK,Lou Amundson,Lou Amundson,200811,100.0
2015-10-28,Lakers,,Larry Nance Jr.,placed on IL with tendinitis in right knee,LAL,Larry Nance Jr.,Larry Nance Jr.,1626204,100.0
2015-10-28,Lakers,,Metta World Peace,placed on IL,LAL,Metta World Peace,Metta World Peace,1897,100.0
2015-10-28,Magic,,Roy Devyn Marble / Roy Marble (Devyn),placed on IL,ORL,Roy Marble,Royce O'Neale,,60.86956521739131
2015-10-28,Mavericks,,Chandler Parsons,placed on IL with recovering from arthroscopic surgery on right knee to repair cartilage damage,DAL,Chandler Parsons,Chandler Parsons,202718,100.0
2015-10-28,Nuggets,,Wilson Chandler,placed on IL with strained right hip (out for season),DEN,Wilson Chandler,Wilson Chandler,201163,100.0
2015-10-28,Pacers,,Glenn Robinson III,placed on IL with sore right shoulder,IND,Glenn Robinson III,Glenn Robinson III,203922,100.0
2015-10-28,Pacers,,Rakeem Christmas,placed on IL,IND,Rakeem Christmas,Rakeem Christmas,1626176,100.0
2015-10-28,Pistons,,Darrun Hilliard,placed on IL,DET,Darrun Hilliard,Darrun Hilliard,1626199,100.0
2015-10-28,Raptors,,Bruno Caboclo,placed on IL,TOR,Bruno Caboclo,Bruno Caboclo,203998,100.0
2015-10-28,Raptors,,Lucas Nogueira,placed on IL,TOR,Lucas Nogueira,Lucas Nogueira,203512,100.0
2015-10-28,Rockets,,Donatas Motiejunas,placed on IL with sore lower back,HOU,Donatas Motiejunas,Donatas Motiejunas,202700,100.0
2015-10-28,Spurs,,Boban Marjanovic,placed on IL,SAS,Boban Marjanovic,Boban Marjanovic,1626246,100.0
